Study_Hours_Per_Day,Attendance_Percent,Assignment_Score,Previous_Score,Sleep_Hours,Internet_Access,Final_Score
2.3,70.1,74.6,82.9,6.8,Good,53.5
5.9,98.5,58.5,84.4,7.1,Good,74.1
6.0,92.6,74.8,87.4,6.8,Poor,78.2
7.1,77.8,74.5,77.1,7.0,Average,77.7
3.0,66.6,42.9,65.7,5.8,Poor,50.8
2.9,94.2,77.3,70.1,5.4,Good,61.8
6.5,81.0,75.0,84.9,8.8,Good,72.1
6.1,93.1,87.1,56.6,6.1,Good,74.0
6.0,67.7,100.0,73.2,5.9,Good,66.4
6.2,76.6,92.6,62.5,4.6,Average,55.6
4.1,82.0,74.5,68.4,6.3,Good,66.4
6.0,82.4,63.6,85.9,5.5,Good,74.2
6.1,77.9,100.0,70.7,8.8,Good,65.4
4.1,87.6,78.8,68.7,8.1,Good,63.3
9.2,72.4,78.2,49.0,6.2,Average,78.0
6.4,80.7,77.7,78.4,9.5,Good,86.5
3.1,83.1,80.6,77.0,8.1,Good,65.9
6.8,86.6,76.1,98.3,6.6,Good,75.0
3.6,88.4,70.5,63.7,4.3,Good,59.9
7.1,71.9,70.9,71.1,9.5,Average,80.5
7.8,68.2,77.6,71.5,5.5,Average,69.0
3.9,93.5,70.9,90.1,5.2,Poor,64.0
7.4,85.0,68.7,66.7,8.1,Average,72.9
6.3,75.3,79.4,71.9,9.7,Good,69.3
7.1,96.0,74.7,76.5,8.5,Average,80.8
9.3,83.0,97.6,70.6,7.6,Good,94.5
5.0,92.6,43.5,61.7,7.7,Good,65.4
4.0,82.6,92.2,70.7,7.9,Average,68.3
3.7,100.0,94.2,83.0,7.8,Good,73.7
3.9,97.8,51.0,53.6,7.3,Poor,53.9
5.3,79.8,73.5,69.9,7.1,Good,72.6
6.2,90.7,73.2,58.2,6.9,Average,71.2
6.1,87.8,59.7,84.7,6.2,Average,70.2
7.2,94.3,67.9,46.7,6.7,Average,88.4
5.5,73.3,63.6,60.2,5.1,Average,63.2
8.4,88.2,100.0,73.3,6.9,Average,81.4
5.0,91.5,90.2,89.9,5.9,Good,73.2
10.0,66.2,94.5,67.1,5.8,Good,87.1
6.8,71.4,87.4,60.2,7.2,Good,72.5
3.8,63.6,63.3,94.3,8.5,Average,55.4
3.4,79.6,71.2,47.7,8.0,Good,64.1
6.5,88.5,84.4,37.2,5.3,Average,66.0
5.1,95.5,62.1,74.2,5.9,Good,78.0
6.9,82.7,87.3,61.0,8.0,Good,81.4
6.4,96.7,74.9,53.7,5.9,Average,70.1
5.4,69.6,73.1,77.9,6.8,Good,73.1
3.8,66.7,87.2,71.4,7.6,Good,64.2
2.5,81.5,83.8,60.1,5.9,Good,63.8
4.6,85.5,73.3,50.1,7.1,Poor,66.9
7.2,81.7,93.1,80.2,5.5,Average,73.9
5.9,63.4,63.9,77.1,6.3,Good,61.0
3.0,81.2,86.0,66.6,7.4,Good,69.0
5.8,70.3,85.7,93.9,5.2,Good,69.7
6.3,88.0,74.0,53.0,7.5,Average,69.1
3.7,85.3,82.2,46.6,7.0,Average,58.1
5.8,73.5,61.7,58.3,7.6,Good,66.6
5.6,77.4,90.0,67.4,7.2,Good,81.8
3.2,72.5,75.6,71.4,8.5,Good,56.7
6.2,81.4,71.2,64.6,7.1,Average,70.1
6.6,90.6,91.6,72.9,6.5,Average,85.3
7.7,73.1,68.8,50.5,7.1,Good,69.4
7.6,86.5,59.7,88.2,7.6,Good,79.5
2.7,77.2,57.8,66.8,7.1,Good,50.8
3.6,74.9,85.9,83.6,7.0,Poor,68.4
6.5,81.0,61.4,72.8,6.2,Good,68.2
6.5,72.7,100.0,74.4,6.3,Average,80.1
6.5,77.0,50.9,76.0,5.5,Average,71.8
10.0,71.2,100.0,74.3,8.9,Good,100.0
6.6,99.7,80.7,77.0,5.6,Good,80.9
7.8,82.3,76.7,86.6,6.2,Good,80.1
7.4,75.7,70.9,70.8,6.2,Average,73.1
6.8,83.9,83.2,77.9,8.0,Average,75.9
4.9,81.0,77.5,66.7,6.7,Average,68.8
7.0,80.0,92.3,88.2,8.4,Good,79.6
4.0,87.5,79.5,58.5,6.3,Good,65.7
5.0,88.8,80.0,93.2,7.3,Poor,81.1
4.5,77.2,73.3,67.4,6.1,Average,58.6
5.7,76.8,77.3,48.0,9.4,Good,74.1
10.0,79.5,82.0,69.8,5.7,Poor,89.0
1.8,61.3,55.8,58.5,7.3,Average,47.4
6.9,68.4,60.5,79.8,7.7,Average,59.0
2.3,94.3,87.7,58.9,7.5,Average,61.3
4.6,96.8,80.2,61.8,6.8,Average,76.6
7.7,79.8,75.6,41.5,6.9,Average,71.2
5.6,87.2,78.2,61.7,7.0,Good,65.5
3.3,84.8,82.5,34.1,6.8,Good,57.0
4.1,100.0,71.0,45.8,8.1,Poor,70.7
6.9,92.1,67.9,78.6,9.4,Good,81.2
4.0,80.8,80.5,79.0,6.4,Good,65.4
5.9,73.4,65.3,74.0,5.5,Good,63.9
5.6,67.5,83.3,54.5,6.9,Good,63.5
4.2,83.8,55.9,67.3,9.8,Average,60.0
9.8,75.2,91.4,67.9,6.1,Poor,90.8
6.8,69.2,84.1,51.8,8.8,Good,69.5
1.4,76.2,81.3,89.0,8.8,Good,67.7
5.9,72.3,90.8,80.3,6.4,Good,80.0
4.2,97.2,99.7,64.9,7.6,Average,79.2
7.2,89.9,91.2,68.4,8.8,Average,79.2
3.9,81.9,54.1,70.9,6.6,Good,62.2
5.3,95.3,61.4,39.4,6.8,Average,64.6
6.5,82.7,69.9,64.5,6.4,Average,65.7
7.2,74.2,78.3,58.5,5.9,Average,72.1
3.1,95.7,84.7,54.0,6.3,Poor,58.7
4.8,86.9,68.6,64.1,5.7,Good,71.1
4.6,72.7,80.4,93.2,7.0,Average,66.7
4.2,80.3,68.2,77.0,6.2,Good,65.1
9.0,74.1,70.1,60.0,7.3,Average,77.3
6.3,69.6,59.7,76.0,5.3,Average,63.6
